symbol,date,long_shares,short_shares,close,equity,market_value,margin,unrealized_pnl
TSLA,2023-01-13 05:00:00,0,100,122.4,0.0,12057.0,12240.0,-183.0
TSLA,2023-01-18 05:00:00,0,100,128.78,0.0,13184.0,12878.0,306.0
TSLA,2023-01-19 05:00:00,0,100,127.17,0.0,13184.0,12717.0,467.0
TSLA,2023-01-23 05:00:00,0,100,143.75,0.0,13982.0,14375.0,-393.0
TSLA,2023-01-24 05:00:00,0,100,143.89,0.0,13982.0,14389.0,-407.0
TSLA,2023-01-27 05:00:00,0,100,177.9,0.0,17092.0,17790.0,-698.0
TSLA,2023-01-30 05:00:00,0,100,166.66,0.0,17092.0,16666.0,426.0
TSLA,2023-02-02 05:00:00,0,100,188.27,0.0,18968.0,18827.0,141.0
TSLA,2023-02-03 05:00:00,0,100,189.98,0.0,18968.0,18998.0,-30.0
TSLA,2023-02-09 05:00:00,0,100,207.32,0.0,20938.0,20732.0,206.0
TSLA,2023-02-10 05:00:00,0,100,196.89,0.0,20938.0,19689.0,1249.0
TSLA,2023-02-15 05:00:00,0,100,214.24,0.0,21038.0,21424.0,-386.0
TSLA,2023-02-16 05:00:00,0,100,202.04,0.0,21038.0,20204.0,834.0
TSLA,2023-02-24 05:00:00,0,100,196.88,0.0,19523.0,19688.0,-165.0
TSLA,2023-02-27 05:00:00,0,100,207.63,0.0,19523.0,20763.0,-1240.0
TSLA,2023-03-06 05:00:00,0,100,193.81,0.0,19545.0,19381.0,164.0
TSLA,2023-03-07 05:00:00,0,100,187.71,0.0,19545.0,18771.0,774.0
TSLA,2023-03-15 04:00:00,0,100,180.45,0.0,17918.0,18045.0,-127.0
TSLA,2023-03-16 04:00:00,0,100,184.13,0.0,17918.0,18413.0,-495.0
TSLA,2023-03-22 04:00:00,0,100,191.15,0.0,19580.0,19115.0,465.0
TSLA,2023-03-23 04:00:00,0,100,192.22,0.0,19580.0,19222.0,358.0
TSLA,2023-03-30 04:00:00,0,100,195.28,0.0,19588.0,19528.0,60.0
TSLA,2023-03-31 04:00:00,0,100,207.46,0.0,19588.0,20746.0,-1158.0
TSLA,2023-04-12 04:00:00,0,100,180.54,0.0,18595.0,18054.0,541.0
TSLA,2023-04-13 04:00:00,0,100,185.9,0.0,18595.0,18590.0,5.0
TSLA,2023-04-18 04:00:00,0,100,184.31,0.0,18563.0,18431.0,132.0
TSLA,2023-04-19 04:00:00,0,100,180.59,0.0,18563.0,18059.0,504.0
TSLA,2023-05-01 04:00:00,0,100,161.83,0.0,16106.0,16183.0,-77.0
TSLA,2023-05-02 04:00:00,0,100,160.31,0.0,16106.0,16031.0,75.0
TSLA,2023-05-08 04:00:00,0,100,171.79,0.0,17150.0,17179.0,-29.0
TSLA,2023-05-09 04:00:00,0,100,169.15,0.0,17150.0,16915.0,235.0
TSLA,2023-05-18 04:00:00,0,100,176.89,0.0,17476.0,17689.0,-213.0
TSLA,2023-05-19 04:00:00,0,100,180.14,0.0,17476.0,18014.0,-538.0
TSLA,2023-05-23 04:00:00,0,100,185.77,0.0,18911.0,18577.0,334.0
TSLA,2023-05-24 04:00:00,0,100,182.9,0.0,18911.0,18290.0,621.0
TSLA,2023-05-26 04:00:00,0,100,193.17,0.0,19156.0,19317.0,-161.0
TSLA,2023-05-30 04:00:00,0,100,201.16,0.0,19156.0,20116.0,-960.0
TSLA,2023-06-02 04:00:00,0,100,213.97,0.0,21350.0,21397.0,-47.0
TSLA,2023-06-05 04:00:00,0,100,217.61,0.0,21350.0,21761.0,-411.0
TSLA,2023-06-07 04:00:00,0,100,224.57,0.0,22701.0,22457.0,244.0
TSLA,2023-06-08 04:00:00,0,100,234.86,0.0,22701.0,23486.0,-785.0
TSLA,2023-06-12 04:00:00,0,100,249.83,0.0,24778.0,24983.0,-205.0
TSLA,2023-06-13 04:00:00,0,100,258.71,0.0,24778.0,25871.0,-1093.0
TSLA,2023-06-20 04:00:00,0,100,274.45,0.0,26794.0,27445.0,-651.0
TSLA,2023-06-21 04:00:00,0,100,259.46,0.0,26794.0,25946.0,848.0
TSLA,2023-06-29 04:00:00,0,100,257.5,0.0,25718.0,25750.0,-32.0
TSLA,2023-06-30 04:00:00,0,100,261.77,0.0,25718.0,26177.0,-459.0
TSLA,2023-07-05 04:00:00,0,100,282.48,0.0,28073.0,28248.0,-175.0
TSLA,2023-07-06 04:00:00,0,100,276.54,0.0,28073.0,27654.0,419.0
TSLA,2023-07-13 04:00:00,0,100,277.9,0.0,27502.0,27790.0,-288.0
TSLA,2023-07-14 04:00:00,0,100,281.38,0.0,27502.0,28138.0,-636.0
TSLA,2023-07-18 04:00:00,0,100,293.34,0.0,29064.0,29334.0,-270.0
TSLA,2023-07-19 04:00:00,0,100,291.26,0.0,29064.0,29126.0,-62.0
TSLA,2023-07-25 04:00:00,0,100,265.28,0.0,26895.0,26528.0,367.0
TSLA,2023-07-26 04:00:00,0,100,264.35,0.0,26895.0,26435.0,460.0
TSLA,2023-08-01 04:00:00,0,100,261.07,0.0,26336.0,26107.0,229.0
TSLA,2023-08-02 04:00:00,0,100,254.11,0.0,26336.0,25411.0,925.0
TSLA,2023-08-22 04:00:00,0,100,233.19,0.0,23518.0,23319.0,199.0
TSLA,2023-08-23 04:00:00,0,100,236.86,0.0,23518.0,23686.0,-168.0
TSLA,2023-08-30 04:00:00,0,100,256.9,0.0,25555.0,25690.0,-135.0
TSLA,2023-08-31 04:00:00,0,100,258.08,0.0,25555.0,25808.0,-253.0
TSLA,2023-09-12 04:00:00,0,100,267.48,0.0,27250.0,26748.0,502.0
TSLA,2023-09-13 04:00:00,0,100,271.3,0.0,27250.0,27130.0,120.0
TSLA,2023-09-15 04:00:00,0,100,274.39,0.0,27499.0,27439.0,60.0
TSLA,2023-09-18 04:00:00,0,100,265.28,0.0,27499.0,26528.0,971.0
TSLA,2023-09-29 04:00:00,0,100,250.22,0.0,25056.0,25022.0,34.0
TSLA,2023-10-02 04:00:00,0,100,251.6,0.0,25056.0,25160.0,-104.0
TSLA,2023-10-05 04:00:00,0,100,260.05,0.0,25992.0,26005.0,-13.0
TSLA,2023-10-06 04:00:00,0,100,260.53,0.0,25992.0,26053.0,-61.0
TSLA,2023-10-11 04:00:00,0,100,262.99,0.0,26475.0,26299.0,176.0
TSLA,2023-10-12 04:00:00,0,100,258.87,0.0,26475.0,25887.0,588.0
TSLA,2023-11-02 04:00:00,0,100,218.51,0.0,21532.0,21851.0,-319.0
TSLA,2023-11-03 04:00:00,0,100,219.96,0.0,21532.0,21996.0,-464.0
TSLA,2023-11-14 05:00:00,0,100,237.41,0.0,23443.0,23741.0,-298.0
TSLA,2023-11-15 05:00:00,0,100,242.84,0.0,23443.0,24284.0,-841.0
TSLA,2023-11-22 05:00:00,0,100,234.21,0.0,23770.0,23421.0,349.0
TSLA,2023-11-24 05:00:00,0,100,235.45,0.0,23770.0,23545.0,225.0
TSLA,2023-11-29 05:00:00,0,100,244.14,0.0,24776.0,24414.0,362.0
TSLA,2023-11-30 05:00:00,0,100,240.08,0.0,24776.0,24008.0,768.0
TSLA,2023-12-14 05:00:00,0,100,251.05,0.0,24733.0,25105.0,-372.0
TSLA,2023-12-15 05:00:00,0,100,253.5,0.0,24733.0,25350.0,-617.0
TSLA,2023-12-28 05:00:00,0,100,253.18,0.0,25892.0,25318.0,574.0
TSLA,2023-12-29 05:00:00,0,100,248.48,0.0,25892.0,24848.0,1044.0
TSLA,2024-01-09 05:00:00,0,100,234.96,0.0,23550.0,23496.0,54.0
